Date,Open,High,Low,Close
1980-10-27,221.85,221.85,221.85,221.85
1980-10-28,219.65,219.65,219.65,219.65
1980-10-29,217.29,217.29,217.29,217.29
1980-10-30,216.29,216.29,216.29,216.29
1980-10-31,215.96,215.96,215.96,215.96
1980-11-03,214.58,214.58,214.58,214.58
1980-11-05,212.09,212.09,212.09,212.09
1980-11-06,213.14,213.14,213.14,213.14
1980-11-07,212.26,212.26,212.26,212.26
1980-11-10,214.86,214.86,214.86,214.86
1980-11-12,218.68,218.68,218.68,218.68
1980-11-13,218.72,218.72,218.72,218.72
1980-11-14,217.94,217.94,217.94,217.94
1980-11-17,215.7,215.7,215.7,215.7
1980-11-18,216.78,216.78,216.78,216.78
1980-11-19,217.98,217.98,217.98,217.98
1980-11-20,217.64,217.64,217.64,217.64
1980-11-21,217.51,217.51,217.51,217.51
1980-11-24,217,217,217,217
1980-11-25,218.03,218.03,218.03,218.03
1980-11-26,219.72,219.72,219.72,219.72
1980-11-28,219.21,219.21,219.21,219.21
1980-12-01,218.94,218.94,218.94,218.94
1980-12-02,216.79,216.79,216.79,216.79
1980-12-03,214.73,214.73,214.73,214.73
1980-12-04,211.73,211.73,211.73,211.73
1980-12-05,210.44,210.44,210.44,210.44
1980-12-08,207.14,207.14,207.14,207.14
1980-12-09,205.65,205.65,205.65,205.65
1980-12-10,204.1,204.1,204.1,204.1
1980-12-11,203.32,203.32,203.32,203.32
1980-12-12,204.55,204.55,204.55,204.55
1980-12-15,205.19,205.19,205.19,205.19
1980-12-16,201.7,201.7,201.7,201.7
1980-12-17,205.9,205.9,205.9,205.9
1980-12-18,205,205,205,205
1980-12-19,205.75,205.75,205.75,205.75
1980-12-22,206.92,206.92,206.92,206.92
1980-12-23,207.66,207.66,207.66,207.66
1980-12-24,208.76,208.76,208.76,208.76
1980-12-26,209.22,209.22,209.22,209.22
1980-12-29,206.12,206.12,206.12,206.12
1980-12-30,202.91,202.91,202.91,202.91
1980-12-31,200.7,200.7,200.7,200.7
1981-01-02,199.95,199.95,199.95,199.95
1981-01-05,200.2,200.2,200.2,200.2
1981-01-06,201.27,201.27,201.27,201.27
1981-01-07,201.31,201.31,201.31,201.31
1981-01-08,200.37,200.37,200.37,200.37
1981-01-09,200.09,200.09,200.09,200.09
1981-01-12,200.5,200.5,200.5,200.5
1981-01-13,198.2,198.2,198.2,198.2
1981-01-14,198.74,198.74,198.74,198.74
1981-01-15,196.68,196.68,196.68,196.68
1981-01-16,197.16,197.16,197.16,197.16
1981-01-19,196.39,196.39,196.39,196.39
1981-01-20,195.65,195.65,195.65,195.65
1981-01-21,194.86,194.86,194.86,194.86
1981-01-22,193.5,193.5,193.5,193.5
1981-01-23,194.3,194.3,194.3,194.3
1981-01-26,193.48,193.48,193.48,193.48
1981-01-27,190.7,190.7,190.7,190.7
1981-01-28,191.28,191.28,191.28,191.28
1981-01-29,190.56,190.56,190.56,190.56
1981-01-30,189.08,189.08,189.08,189.08
1981-02-02,186.8,186.8,186.8,186.8
1981-02-03,186.38,186.38,186.38,186.38
1981-02-04,187.18,187.18,187.18,187.18
1981-02-05,184.43,184.43,184.43,184.43
1981-02-06,185.69,185.69,185.69,185.69
1981-02-09,186,186,186,186
1981-02-10,185.13,185.13,185.13,185.13
1981-02-11,185,185,185,185
1981-02-13,182.25,182.25,182.25,182.25
1981-02-17,183.66,183.66,183.66,183.66
1981-02-18,184.14,184.14,184.14,184.14
1981-02-19,189.17,189.17,189.17,189.17
1981-02-20,192.41,192.41,192.41,192.41
1981-02-23,192.11,192.11,192.11,192.11
1981-02-24,190.78,190.78,190.78,190.78
1981-02-25,191.86,191.86,191.86,191.86
