Date,Open,High,Low,Close
2003-03-14,1.4853,1.4897,1.4729,1.4739
2003-03-17,1.4706,1.4852,1.4665,1.4801
2003-03-18,1.4823,1.4872,1.4729,1.4734
2003-03-19,1.475,1.4845,1.4733,1.4824
2003-03-20,1.4852,1.4879,1.4767,1.4807
2003-03-21,1.481,1.4963,1.479,1.4941
2003-03-24,1.4881,1.492,1.4782,1.4797
2003-03-25,1.4804,1.4819,1.4736,1.4756
2003-03-26,1.4762,1.478,1.4685,1.4689
2003-03-27,1.4671,1.4698,1.4612,1.4631
2003-03-28,1.4634,1.473,1.462,1.4712
2003-03-31,1.471,1.4745,1.4654,1.4693
2003-04-01,1.4668,1.4746,1.4646,1.4737
2003-04-02,1.4739,1.4804,1.4684,1.47
2003-04-03,1.4696,1.4788,1.4681,1.4757
2003-04-04,1.4752,1.4797,1.4712,1.4724
2003-04-07,1.4764,1.4945,1.4754,1.4792
2003-04-08,1.4789,1.4813,1.4664,1.4666
2003-04-09,1.4672,1.4719,1.4649,1.4656
2003-04-10,1.4656,1.4666,1.4527,1.4544
2003-04-11,1.4545,1.4603,1.4499,1.4532
2003-04-14,1.4555,1.4594,1.4514,1.4545
2003-04-15,1.4545,1.4576,1.4466,1.4489
2003-04-16,1.4489,1.458,1.4455,1.4554
2003-04-17,1.4554,1.4562,1.4485,1.4508
2003-04-18,1.4507,1.4523,1.4466,1.4505
2003-04-21,1.45,1.4564,1.4487,1.4552
2003-04-22,1.4536,1.4562,1.4426,1.4473
2003-04-23,1.4474,1.454,1.4449,1.4533
2003-04-24,1.4533,1.4662,1.4521,1.455
2003-04-25,1.4555,1.4595,1.4447,1.4467
2003-04-28,1.4462,1.4518,1.4436,1.4479
2003-04-29,1.4477,1.4546,1.4412,1.4427
2003-04-30,1.4424,1.443,1.4298,1.4305
2003-05-01,1.4302,1.4315,1.4163,1.4196
2003-05-02,1.4196,1.4252,1.416,1.4196
2003-05-05,1.4185,1.4218,1.4084,1.4114
2003-05-06,1.4116,1.4143,1.391,1.3938
2003-05-07,1.3938,1.4035,1.3825,1.3975
2003-05-08,1.3975,1.4077,1.3908,1.3959
2003-05-09,1.3959,1.4013,1.3876,1.393
2003-05-12,1.3908,1.3918,1.3837,1.3885
2003-05-13,1.3885,1.3946,1.3849,1.386
2003-05-14,1.386,1.3903,1.3733,1.3749
2003-05-15,1.3749,1.3854,1.3735,1.3803
2003-05-16,1.3803,1.3858,1.363,1.3652
2003-05-19,1.3555,1.365,1.3509,1.3635
2003-05-20,1.3635,1.3657,1.3442,1.3482
2003-05-21,1.3482,1.3553,1.3414,1.3513
2003-05-22,1.3513,1.378,1.3478,1.3728
2003-05-23,1.3728,1.3826,1.3678,1.3736
2003-05-26,1.3795,1.3799,1.3717,1.3717
2003-05-27,1.3717,1.378,1.3671,1.3765
2003-05-28,1.3765,1.3923,1.3728,1.3838
2003-05-29,1.3838,1.3912,1.3655,1.3674
2003-05-30,1.3674,1.3745,1.3636,1.3659
2003-06-02,1.3721,1.3771,1.3662,1.367
2003-06-03,1.367,1.3786,1.3623,1.3643
2003-06-04,1.3643,1.365,1.3535,1.3611
2003-06-05,1.3611,1.3632,1.3378,1.341
2003-06-06,1.341,1.3607,1.3395,1.3571
2003-06-09,1.3588,1.3678,1.3548,1.3573
2003-06-10,1.3573,1.3671,1.3554,1.3611
2003-06-11,1.3611,1.3657,1.3491,1.3504
2003-06-12,1.3504,1.3543,1.3466,1.3487
2003-06-13,1.3487,1.3497,1.332,1.3354
2003-06-16,1.3334,1.3457,1.3303,1.3433
2003-06-17,1.3433,1.3489,1.3349,1.338
2003-06-18,1.338,1.3451,1.332,1.3357
2003-06-19,1.3357,1.3548,1.3344,1.3442
2003-06-20,1.3442,1.3635,1.3409,1.3597
2003-06-23,1.3598,1.3677,1.3549,1.3578
2003-06-24,1.3578,1.3638,1.3527,1.3587
2003-06-25,1.3587,1.3607,1.3386,1.3471
2003-06-26,1.3471,1.3582,1.3446,1.3571
2003-06-27,1.3571,1.3588,1.3454,1.3489
2003-06-30,1.3477,1.3619,1.3436,1.3458
2003-07-01,1.3458,1.354,1.3437,1.3509
2003-07-02,1.3509,1.354,1.3352,1.3389
2003-07-03,1.3389,1.3444,1.3332,1.3361
2003-07-04,1.3361,1.3417,1.3354,1.3388
2003-07-07,1.3394,1.3518,1.3366,1.3477
2003-07-08,1.3477,1.3714,1.3457,1.3637
2003-07-09,1.3637,1.3768,1.3604,1.3738
2003-07-10,1.3738,1.3879,1.3721,1.3827
2003-07-11,1.3827,1.3867,1.3735,1.377
2003-07-14,1.3765,1.382,1.371,1.3725
2003-07-15,1.3725,1.396,1.3724,1.3915
2003-07-16,1.3917,1.3973,1.3803,1.3899
2003-07-17,1.3899,1.4012,1.3851,1.3971
2003-07-18,1.3971,1.4136,1.3965,1.4058
2003-07-21,1.407,1.4127,1.4024,1.4069
2003-07-22,1.4069,1.4177,1.4003,1.4158
2003-07-23,1.4158,1.419,1.3935,1.3961
2003-07-24,1.3961,1.4003,1.3904,1.3933
2003-07-25,1.3933,1.3968,1.3779,1.3794
2003-07-28,1.3805,1.3869,1.3776,1.3841
2003-07-29,1.3841,1.3884,1.3807,1.3875
2003-07-30,1.3875,1.4032,1.3868,1.4014
2003-07-31,1.4011,1.411,1.3984,1.4056
2003-08-01,1.4056,1.4091,1.3916,1.3995
2003-08-04,1.3977,1.4075,1.395,1.4032
